,date_time
72,2023-02-03 16:38:25.692015
73,2023-02-03 16:38:27.486810
74,2023-02-03 16:38:27.486810
75,2023-02-03 16:38:27.486810
76,2023-02-03 16:38:27.486810
77,2023-02-03 16:38:27.486810
78,2023-02-03 16:38:27.486810
79,2023-02-03 16:38:27.486810
80,2023-02-03 16:38:27.486810
81,2023-02-03 16:38:27.486810
82,2023-02-03 16:38:30.260707
83,2023-02-03 16:38:30.260707
84,2023-02-03 16:38:30.260707
85,2023-02-03 16:38:30.260707
86,2023-02-03 16:38:30.260707
87,2023-02-03 16:38:30.260707
88,2023-02-03 16:38:30.260707
89,2023-02-03 16:38:30.260707
90,2023-02-03 16:38:30.260707
91,2023-02-03 16:38:32.220118
92,2023-02-03 16:38:32.220118
93,2023-02-03 16:38:32.220118
94,2023-02-03 16:38:32.220118
95,2023-02-03 16:38:32.220118
96,2023-02-03 16:38:32.220118
97,2023-02-03 16:38:32.220118
98,2023-02-03 16:38:32.220118
99,2023-02-03 16:38:32.220118
100,2023-02-03 16:38:38.441688
101,2023-02-03 16:38:38.441688
102,2023-02-03 16:38:38.441688
103,2023-02-03 16:38:38.441688
104,2023-02-03 16:38:38.441688
105,2023-02-03 16:38:38.441688
106,2023-02-03 16:38:38.441688
107,2023-02-03 16:38:38.441688
108,2023-02-03 16:38:38.441688
109,2023-02-03 16:38:39.565450
110,2023-02-03 16:38:39.565450
111,2023-02-03 16:38:39.565450
112,2023-02-03 16:38:39.565450
113,2023-02-03 16:38:39.565450
114,2023-02-03 16:38:39.565450
115,2023-02-03 16:38:39.565450
116,2023-02-03 16:38:39.565450
117,2023-02-03 16:38:39.565450
118,2023-02-03 16:38:41.309550
119,2023-02-03 16:38:41.309550
120,2023-02-03 16:38:41.309550
121,2023-02-03 16:38:41.309550
122,2023-02-03 16:38:41.309550
123,2023-02-03 16:38:41.309550
124,2023-02-03 16:38:41.309550
125,2023-02-03 16:38:41.309550
126,2023-02-03 16:38:44.302666
127,2023-02-03 16:38:44.302666
128,2023-02-03 16:38:44.302666
129,2023-02-03 16:38:44.302666
130,2023-02-03 16:38:44.302666
131,2023-02-03 16:38:44.302666
132,2023-02-03 16:38:44.302666
133,2023-02-03 16:38:44.302666
134,2023-02-03 16:38:44.302666
135,2023-02-03 16:38:44.302666
136,2023-02-03 16:38:48.503478
137,2023-02-03 16:38:48.503478
138,2023-02-03 16:38:48.503478
139,2023-02-03 16:38:48.503478
140,2023-02-03 16:38:48.503478
141,2023-02-03 16:38:54.774215
142,2023-02-03 16:38:54.774215
143,2023-02-03 16:38:54.774215
144,2023-02-03 16:38:54.774215
145,2023-02-03 16:38:54.774215
146,2023-02-03 16:38:54.774215
147,2023-02-03 16:38:55.895052
148,2023-02-03 16:38:55.895052
149,2023-02-03 16:38:55.895052
150,2023-02-03 16:38:55.895052
151,2023-02-03 16:38:55.895052
152,2023-02-03 16:38:55.895052
153,2023-02-03 16:38:55.895052
154,2023-02-03 16:38:55.895052
155,2023-02-03 16:38:55.895052
156,2023-02-03 16:38:55.895052
157,2023-02-03 16:38:58.284777
158,2023-02-03 16:38:58.284777
159,2023-02-03 16:38:58.284777
160,2023-02-03 16:38:58.284777
161,2023-02-03 16:38:58.284777
162,2023-02-03 16:38:58.284777
163,2023-02-03 16:38:58.284777
164,2023-02-03 16:38:58.284777
165,2023-02-03 16:38:58.284777
166,2023-02-03 16:38:59.335950
167,2023-02-03 16:38:59.335950
168,2023-02-03 16:38:59.335950
169,2023-02-03 16:38:59.335950
170,2023-02-03 16:38:59.335950
171,2023-02-03 16:38:59.335950
172,2023-02-03 16:38:59.335950
173,2023-02-03 16:38:59.335950
174,2023-02-03 16:38:59.335950
175,2023-02-03 16:38:59.335950
176,2023-02-03 16:39:01.579870
177,2023-02-03 16:39:01.579870
178,2023-02-03 16:39:01.579870
179,2023-02-03 16:39:01.579870
180,2023-02-03 16:39:01.579870
181,2023-02-03 16:39:01.579870
182,2023-02-03 16:39:05.193488
183,2023-02-03 16:39:05.193488
184,2023-02-03 16:39:05.193488
185,2023-02-03 16:39:05.193488
186,2023-02-03 16:39:05.193488
187,2023-02-03 16:39:05.193488
188,2023-02-03 16:39:05.193488
189,2023-02-03 16:39:05.193488
190,2023-02-03 16:39:05.193488
191,2023-02-03 16:39:05.193488
192,2023-02-03 16:39:18.540092
193,2023-02-03 16:39:18.540092
194,2023-02-03 16:39:18.540092
195,2023-02-03 16:39:18.540092
196,2023-02-03 16:39:18.540092
197,2023-02-03 16:39:18.540092
198,2023-02-03 16:39:27.152281
199,2023-02-03 16:39:27.152281
200,2023-02-03 21:32:04.062228
201,2023-02-03 21:32:04.062228
202,2023-02-03 21:32:04.062228
203,2023-02-03 21:32:04.062228
204,2023-02-03 21:32:04.062228
205,2023-02-03 21:32:04.062228
206,2023-02-03 21:32:04.513275
207,2023-02-03 21:32:04.513275
208,2023-02-03 21:32:04.513275
209,2023-02-03 21:32:04.513275
210,2023-02-03 21:32:04.513275
211,2023-02-03 21:45:38.621505
212,2023-02-03 21:45:38.621505
213,2023-02-03 21:45:38.621505
214,2023-02-03 21:45:38.621505
215,2023-02-03 21:45:38.621505
216,2023-02-03 21:45:38.621505
217,2023-02-03 21:45:38.621505
218,2023-02-03 21:45:38.621505
219,2023-02-03 21:45:38.621505
220,2023-02-03 21:45:38.621505
221,2023-02-03 21:45:42.561074
222,2023-02-03 21:45:48.903776
223,2023-02-03 21:45:48.903776
224,2023-02-03 21:45:48.903776
225,2023-02-03 21:45:48.903776
226,2023-02-03 21:45:48.903776
227,2023-02-03 21:45:48.903776
228,2023-02-03 21:45:48.903776
229,2023-02-03 21:45:48.903776
230,2023-02-03 21:45:48.903776
231,2023-02-03 21:45:48.903776
232,2023-02-03 21:45:50.983915
233,2023-02-03 21:45:50.983915
234,2023-02-03 21:45:50.983915
235,2023-02-03 21:45:50.983915
236,2023-02-03 21:45:50.983915
237,2023-02-03 21:45:54.231419
238,2023-02-03 21:45:54.231419
239,2023-02-03 21:45:54.231419
240,2023-02-03 21:45:54.231419
241,2023-02-03 21:45:54.231419
242,2023-02-03 21:45:54.231419
243,2023-02-03 21:45:54.231419
244,2023-02-03 21:45:54.231419
245,2023-02-03 21:45:54.231419
246,2023-02-03 21:45:54.231419
247,2023-02-03 21:45:55.281855
248,2023-02-03 21:45:55.281855
249,2023-02-03 21:45:55.281855
250,2023-02-03 21:45:55.281855
251,2023-02-03 21:45:55.281855
252,2023-02-03 21:45:55.281855
253,2023-02-03 21:45:55.281855
254,2023-02-03 21:45:55.281855
255,2023-02-03 21:45:55.281855
256,2023-02-03 21:45:55.281855
257,2023-02-03 21:46:02.375037
258,2023-02-03 21:46:02.375037
259,2023-02-03 21:46:02.375037
260,2023-02-03 21:46:02.375037
261,2023-02-03 21:46:02.375037
262,2023-02-03 21:46:02.375037
263,2023-02-03 21:46:02.375037
264,2023-02-03 21:46:02.375037
265,2023-02-03 21:46:02.375037
266,2023-02-03 21:46:05.340787
267,2023-02-03 21:48:58.691577
268,2023-02-03 21:48:58.691577
269,2023-02-03 21:48:58.691577
270,2023-02-03 21:48:58.691577
271,2023-02-03 21:48:58.691577
272,2023-02-03 21:48:58.691577
273,2023-02-03 21:48:58.691577
274,2023-02-03 21:48:58.691577
275,2023-02-03 21:48:58.691577
276,2023-02-03 21:48:58.691577
277,2023-02-03 21:49:01.376399
278,2023-02-03 21:49:01.376399
279,2023-02-03 21:49:01.376399
280,2023-02-03 21:49:01.376399
281,2023-02-03 21:49:01.376399
282,2023-02-03 21:49:01.376399
283,2023-02-03 21:49:01.376399
284,2023-02-03 21:49:01.376399
285,2023-02-03 21:49:01.376399
286,2023-02-03 21:49:01.376399
287,2023-02-04 17:14:11.855618
288,2023-02-04 17:14:11.855618
289,2023-02-04 17:14:11.855618
290,2023-02-04 17:14:11.855618
291,2023-02-04 17:14:11.855618
292,2023-02-04 17:14:11.855618
293,2023-02-04 17:14:11.855618
294,2023-02-04 17:14:11.855618
295,2023-02-04 17:14:11.855618
296,2023-02-04 17:14:11.855618
297,2023-02-04 17:14:13.099405
298,2023-02-04 17:14:13.099405
299,2023-02-04 17:14:13.099405
300,2023-02-04 17:14:13.099405
301,2023-02-04 17:14:13.099405
302,2023-02-04 17:14:13.099405
303,2023-02-04 17:14:13.099405
304,2023-02-04 17:14:13.099405
305,2023-02-04 17:14:13.099405
306,2023-02-04 17:14:14.137638
307,2023-02-04 17:14:14.137638
308,2023-02-04 17:14:14.137638
309,2023-02-04 17:14:14.137638
310,2023-02-04 17:14:14.137638
311,2023-02-04 17:14:14.137638
312,2023-02-04 17:14:14.137638
313,2023-02-04 17:14:14.137638
314,2023-02-04 17:14:14.137638
315,2023-02-04 17:14:14.137638
316,2023-02-04 17:14:16.649449
317,2023-02-04 17:14:16.649449
318,2023-02-04 17:14:16.649449
319,2023-02-04 17:14:16.649449
320,2023-02-04 17:14:16.649449
321,2023-02-04 17:14:16.649449
322,2023-02-04 17:14:16.649449
323,2023-02-04 17:14:24.329413
324,2023-02-04 17:14:24.329413
325,2023-02-04 17:14:24.329413
326,2023-02-04 17:14:24.329413
327,2023-02-04 17:14:24.329413
328,2023-02-04 17:14:24.329413
329,2023-02-04 17:14:25.537399
330,2023-02-04 17:14:25.537399
331,2023-02-04 17:14:25.537399
332,2023-02-04 17:14:25.537399
333,2023-02-04 17:14:28.497202
334,2023-02-04 17:14:28.497202
335,2023-02-04 17:14:28.497202
336,2023-02-04 17:14:28.497202
337,2023-02-04 17:14:28.497202
338,2023-02-04 17:14:28.497202
339,2023-02-04 17:14:28.497202
340,2023-02-04 17:14:28.497202
341,2023-02-04 17:14:30.689275
342,2023-02-04 17:14:30.689275
343,2023-02-04 17:14:30.689275
344,2023-02-04 17:14:30.689275
345,2023-02-04 17:14:30.689275
346,2023-02-04 17:14:30.689275
347,2023-02-04 17:14:32.813979
348,2023-02-04 17:14:32.813979
349,2023-02-04 17:14:32.813979
350,2023-02-04 17:14:32.813979
351,2023-02-04 17:14:32.813979
352,2023-02-04 17:14:32.813979
353,2023-02-04 17:14:32.813979
354,2023-02-04 17:14:34.115247
355,2023-02-04 17:14:34.115247
356,2023-02-04 17:14:34.115247
357,2023-02-04 17:14:34.115247
358,2023-02-04 17:14:34.115247
359,2023-02-04 17:14:34.115247
360,2023-02-04 17:14:34.115247
361,2023-02-04 17:14:34.115247
362,2023-02-04 17:14:34.115247
363,2023-02-04 17:14:37.528705
364,2023-02-04 17:14:37.528705
365,2023-02-04 17:14:37.528705
366,2023-02-04 17:14:37.528705
367,2023-02-04 17:14:37.528705
368,2023-02-04 17:14:37.528705
369,2023-02-04 17:14:39.336220
370,2023-02-04 17:14:39.336220
371,2023-02-04 17:14:39.336220
372,2023-02-04 17:14:39.336220
373,2023-02-04 17:14:39.336220
374,2023-02-04 17:14:39.336220
375,2023-02-04 17:14:39.336220
376,2023-02-04 17:14:39.336220
377,2023-02-04 17:14:39.336220
378,2023-02-04 17:14:56.398412
379,2023-02-04 17:14:56.398412
380,2023-02-04 17:14:56.398412
381,2023-02-04 17:14:56.398412
382,2023-02-04 17:14:56.398412
383,2023-02-04 17:14:56.398412
384,2023-02-04 17:14:58.103050
385,2023-02-04 17:14:58.103050
386,2023-02-04 17:14:58.103050
387,2023-02-04 17:14:58.103050
388,2023-02-04 17:14:58.103050
389,2023-02-04 17:14:58.103050
390,2023-02-04 17:14:58.103050
391,2023-02-04 17:14:58.103050
392,2023-02-04 17:14:58.103050
393,2023-02-04 17:14:58.103050
394,2023-02-04 17:24:43.528554
395,2023-02-04 17:24:43.528554
396,2023-02-04 17:24:43.528554
397,2023-02-04 17:24:43.528554
398,2023-02-04 17:24:43.528554
399,2023-02-04 17:24:43.528554
400,2023-02-04 17:24:45.796207
401,2023-02-04 17:24:45.796207
402,2023-02-04 17:24:48.208081
403,2023-02-04 17:24:48.208081
404,2023-02-04 17:24:51.277814
405,2023-02-04 17:24:51.277814
406,2023-02-04 17:24:51.277814
407,2023-02-04 17:24:51.277814
408,2023-02-04 17:24:56.356173
409,2023-02-04 17:24:56.356173
410,2023-02-04 17:24:56.356173
411,2023-02-04 17:24:57.402527
412,2023-02-04 17:24:57.402527
413,2023-02-04 17:24:57.402527
414,2023-02-04 17:24:58.280275
415,2023-02-04 17:24:58.280275
416,2023-02-04 17:45:27.295750
417,2023-02-04 17:45:27.295750
418,2023-02-04 17:45:27.295750
419,2023-02-04 17:45:27.295750
420,2023-02-04 17:45:36.021468
421,2023-02-04 17:45:36.021468
422,2023-02-04 17:45:36.021468
423,2023-02-04 17:45:36.021468
424,2023-02-04 17:45:36.021468
425,2023-02-04 17:45:44.460789
426,2023-02-04 17:45:50.900503
427,2023-02-04 17:45:50.900503
428,2023-02-04 17:45:55.850840
429,2023-02-04 17:45:55.850840
430,2023-02-04 17:45:57.728919
431,2023-02-04 17:46:01.107295
432,2023-02-04 17:46:01.107295
433,2023-02-04 17:46:39.276158
434,2023-02-04 17:46:39.276158
435,2023-02-04 17:46:39.276158
436,2023-02-04 17:46:39.276158
437,2023-02-04 17:46:39.276158
438,2023-02-04 17:46:39.276158
439,2023-02-04 17:46:39.276158
440,2023-02-04 17:46:39.276158
441,2023-02-04 17:46:39.276158
442,2023-02-04 17:46:40.749260
443,2023-02-04 17:46:40.749260
444,2023-02-04 17:46:40.749260
445,2023-02-04 17:46:40.749260
446,2023-02-04 17:46:40.749260
447,2023-02-04 17:46:40.749260
448,2023-02-04 17:46:43.464187
449,2023-02-04 17:46:43.464187
450,2023-02-04 17:46:43.464187
451,2023-02-04 17:46:43.464187
452,2023-02-04 17:46:43.464187
453,2023-02-04 17:46:43.464187
454,2023-02-04 17:46:43.464187
455,2023-02-04 17:46:43.464187
456,2023-02-04 17:46:43.464187
457,2023-02-04 17:46:45.721726
458,2023-02-04 17:46:45.721726
459,2023-02-04 17:46:45.721726
460,2023-02-04 17:46:45.721726
461,2023-02-04 17:46:45.721726
462,2023-02-04 17:46:45.721726
463,2023-02-04 17:46:45.721726
464,2023-02-04 17:46:45.721726
465,2023-02-04 17:46:47.836712
466,2023-02-04 17:46:47.836712
467,2023-02-04 17:46:47.836712
468,2023-02-04 17:46:47.836712
469,2023-02-04 17:46:47.836712
470,2023-02-04 17:46:47.836712
471,2023-02-04 17:46:47.836712
472,2023-02-04 17:46:47.836712
473,2023-02-04 17:46:49.415792
474,2023-02-04 17:46:49.415792
475,2023-02-04 17:46:49.415792
476,2023-02-04 17:46:49.415792
477,2023-02-04 17:46:49.415792
478,2023-02-04 17:46:49.415792
479,2023-02-04 17:46:49.415792
480,2023-02-04 17:46:49.415792
481,2023-02-04 17:46:51.152137
482,2023-02-04 17:46:51.152137
483,2023-02-04 17:46:51.152137
484,2023-02-04 17:46:51.152137
485,2023-02-04 17:46:51.152137
486,2023-02-04 17:46:51.152137
487,2023-02-04 17:46:51.152137
488,2023-02-04 17:46:52.222914
489,2023-02-04 17:46:52.222914
490,2023-02-04 17:47:01.583071
491,2023-02-04 17:47:01.583071
492,2023-02-04 17:47:01.583071
493,2023-02-04 17:47:01.583071
494,2023-02-04 17:47:01.583071
495,2023-02-04 17:47:08.173430
496,2023-02-04 17:47:08.173430
497,2023-02-04 17:47:08.173430
498,2023-02-04 17:47:08.173430
499,2023-02-04 17:47:08.173430
500,2023-02-04 17:47:08.173430
501,2023-02-04 17:47:08.173430
502,2023-02-04 17:47:09.293110
503,2023-02-06 10:29:37.918702
504,2023-02-06 10:29:37.918702
505,2023-02-06 10:29:37.918702
506,2023-02-06 10:29:37.918702
507,2023-02-06 10:29:37.918702
508,2023-02-06 10:29:37.918702
509,2023-02-06 10:29:37.918702
510,2023-02-06 10:29:37.918702
511,2023-02-06 10:29:37.918702
512,2023-02-06 10:29:37.918702
513,2023-02-06 10:29:43.590176
514,2023-02-06 10:29:43.590176
515,2023-02-06 10:29:43.590176
516,2023-02-06 10:29:43.590176
517,2023-02-06 10:29:43.590176
518,2023-02-06 10:29:43.590176
519,2023-02-06 10:29:43.590176
520,2023-02-06 10:29:43.590176
521,2023-02-06 10:29:43.590176
522,2023-02-06 10:29:53.928374
523,2023-02-06 10:29:53.928374
524,2023-02-06 10:29:53.928374
525,2023-02-06 10:29:53.928374
526,2023-02-06 10:29:53.928374
527,2023-02-06 10:29:53.928374
528,2023-02-06 10:30:05.051016
529,2023-02-06 10:30:05.051016
530,2023-02-06 10:30:05.051016
531,2023-02-06 10:30:05.051016
532,2023-02-06 10:30:05.051016
533,2023-02-06 10:30:05.051016
534,2023-02-06 10:30:05.051016
535,2023-02-06 10:30:05.051016
536,2023-02-06 10:30:05.051016
537,2023-02-06 10:30:05.051016
538,2023-02-06 10:30:06.177794
539,2023-02-06 10:30:06.177794
540,2023-02-06 10:30:06.177794
541,2023-02-06 10:30:06.177794
542,2023-02-06 10:30:06.177794
543,2023-02-06 10:30:06.177794
544,2023-02-06 10:30:06.177794
545,2023-02-06 10:30:06.177794
546,2023-02-06 10:30:06.177794
547,2023-02-06 10:30:06.177794
548,2023-02-06 10:30:07.618365
549,2023-02-06 10:30:07.618365
550,2023-02-06 10:30:07.618365
551,2023-02-06 10:30:07.618365
552,2023-02-06 10:30:07.618365
553,2023-02-06 10:30:07.618365
554,2023-02-06 10:30:07.618365
555,2023-02-06 10:31:04.002836
556,2023-02-06 10:31:04.002836
557,2023-02-06 10:31:04.002836
558,2023-02-06 10:31:04.002836
559,2023-02-06 10:31:04.002836
560,2023-02-06 10:31:04.002836
561,2023-02-06 10:31:04.002836
562,2023-02-06 10:31:04.002836
563,2023-02-06 10:31:04.002836
564,2023-02-06 10:31:05.066702
565,2023-02-06 10:31:05.066702
566,2023-02-06 10:31:05.066702
567,2023-02-06 10:31:05.066702
568,2023-02-06 10:31:05.066702
569,2023-02-06 10:31:05.066702
570,2023-02-06 10:31:05.066702
571,2023-02-06 10:31:05.066702
572,2023-02-06 10:31:05.066702
573,2023-02-06 10:31:05.066702
574,2023-02-06 10:31:07.569063
575,2023-02-06 10:31:07.569063
576,2023-02-06 10:31:07.569063
577,2023-02-07 12:18:16.873039
578,2023-02-07 12:18:16.873039
579,2023-02-07 12:18:16.873039
580,2023-02-07 12:18:16.873039
581,2023-02-07 12:18:16.873039
582,2023-02-07 12:18:16.873039
583,2023-02-07 12:18:16.873039
584,2023-02-07 12:18:16.873039
585,2023-02-07 12:18:16.873039
586,2023-02-07 12:18:16.873039
587,2023-02-07 12:18:18.495062
588,2023-02-07 12:18:18.495062
589,2023-02-07 12:18:18.495062
590,2023-02-07 12:18:18.495062
591,2023-02-07 12:18:18.495062
592,2023-02-07 12:18:18.495062
593,2023-02-07 12:18:18.495062
594,2023-02-07 12:18:18.495062
595,2023-02-07 12:18:18.495062
596,2023-02-07 12:18:18.495062
597,2023-02-07 12:18:21.928442
598,2023-02-07 12:18:21.928442
599,2023-02-07 12:18:21.928442
600,2023-02-07 12:18:21.928442
601,2023-02-07 12:18:21.928442
602,2023-02-07 12:18:21.928442
603,2023-02-07 12:18:21.928442
604,2023-02-07 12:18:21.928442
605,2023-02-07 12:18:23.376657
606,2023-02-07 12:18:23.376657
607,2023-02-07 12:18:23.376657
608,2023-02-07 12:18:23.376657
609,2023-02-07 12:18:23.376657
610,2023-02-07 12:18:23.376657
611,2023-02-07 12:18:23.376657
612,2023-02-07 12:18:26.679055
613,2023-02-07 12:18:26.679055
614,2023-02-07 12:18:26.679055
615,2023-02-07 12:18:26.679055
616,2023-02-07 12:18:26.679055
617,2023-02-07 12:18:26.679055
618,2023-02-07 12:18:26.679055
619,2023-02-07 12:18:26.679055
620,2023-02-07 12:18:27.861265
621,2023-02-07 12:18:27.861265
622,2023-02-07 12:18:27.861265
623,2023-02-07 12:18:27.861265
624,2023-02-07 12:18:27.861265
625,2023-02-07 12:18:27.861265
626,2023-02-07 12:18:27.861265
627,2023-02-07 12:18:27.861265
628,2023-02-07 12:18:30.482885
629,2023-02-07 12:18:30.482885
630,2023-02-07 12:18:30.482885
631,2023-02-07 12:18:30.482885
632,2023-02-07 12:18:30.482885
633,2023-02-07 12:18:30.482885
634,2023-02-07 12:18:30.482885
635,2023-02-07 12:18:30.482885
636,2023-02-07 12:18:30.482885
637,2023-02-07 12:18:36.414810
638,2023-02-07 12:18:36.414810
639,2023-02-07 12:18:36.414810
640,2023-02-07 12:18:36.414810
641,2023-02-07 12:18:36.414810
642,2023-02-07 12:18:36.414810
643,2023-02-07 12:18:36.414810
644,2023-02-07 12:18:37.772054
645,2023-02-07 12:18:37.772054
646,2023-02-07 12:18:37.772054
647,2023-02-07 12:18:37.772054
648,2023-02-07 12:18:37.772054
649,2023-02-07 12:18:37.772054
650,2023-02-07 12:18:37.772054
651,2023-02-07 12:18:37.772054
652,2023-02-07 12:18:37.772054
653,2023-02-07 12:18:39.258267
654,2023-02-07 12:18:39.258267
655,2023-02-07 12:18:39.258267
656,2023-02-07 12:18:39.258267
657,2023-02-07 12:18:39.258267
658,2023-02-07 12:18:39.258267
659,2023-02-07 12:18:39.258267
660,2023-02-07 12:18:39.258267
661,2023-02-07 12:18:39.258267
662,2023-02-07 12:18:40.216181
663,2023-02-07 12:18:40.216181
664,2023-02-07 12:18:40.216181
665,2023-02-07 12:18:40.216181
666,2023-02-07 12:18:40.216181
667,2023-02-07 12:18:40.216181
668,2023-02-07 12:18:40.216181
669,2023-02-07 12:18:40.216181
670,2023-02-07 12:18:40.216181
671,2023-02-07 12:18:40.216181
672,2023-02-07 12:18:41.086158
673,2023-02-07 12:18:41.086158
674,2023-02-07 12:18:41.086158
675,2023-02-07 12:18:41.086158
676,2023-02-07 12:18:41.086158
677,2023-02-07 12:18:41.086158
678,2023-02-07 12:19:08.341509
679,2023-02-07 12:19:08.341509
680,2023-02-07 12:19:08.341509
681,2023-02-07 12:19:08.341509
682,2023-02-07 12:19:08.341509
683,2023-02-07 12:19:08.341509
684,2023-02-07 12:19:08.341509
685,2023-02-07 12:19:08.341509
686,2023-02-07 12:19:10.722454
687,2023-02-07 12:19:10.722454
688,2023-02-07 12:19:10.722454
689,2023-02-07 12:19:10.722454
690,2023-02-07 12:19:10.722454
691,2023-02-07 12:19:10.722454
692,2023-02-07 12:19:10.722454
693,2023-02-07 12:19:10.722454
694,2023-02-07 12:19:10.722454
695,2023-02-07 12:19:21.292477
696,2023-02-07 12:19:21.292477
697,2023-02-07 12:19:21.292477
698,2023-02-07 12:19:21.292477
699,2023-02-07 12:19:21.292477
700,2023-02-07 12:19:21.292477
701,2023-02-07 12:19:21.292477
702,2023-02-07 12:19:21.292477
703,2023-02-07 12:19:21.292477
704,2023-02-07 12:19:22.998846
705,2023-02-07 12:19:22.998846
706,2023-02-07 12:19:22.998846
707,2023-02-07 12:19:22.998846
708,2023-02-07 12:19:22.998846
709,2023-02-07 12:19:22.998846
710,2023-02-07 12:19:22.998846
711,2023-02-07 12:19:22.998846
712,2023-02-07 12:19:25.612708
713,2023-02-07 12:19:25.612708
714,2023-02-07 12:19:25.612708
715,2023-02-07 12:19:25.612708
716,2023-02-07 12:19:25.612708
717,2023-02-07 12:19:25.612708
718,2023-02-07 12:19:25.612708
719,2023-02-07 12:19:28.750337
720,2023-02-07 12:19:28.750337
721,2023-02-07 12:19:28.750337
722,2023-02-07 12:19:28.750337
723,2023-02-07 12:19:28.750337
724,2023-02-07 12:19:28.750337
725,2023-02-07 12:19:28.750337
726,2023-02-07 12:19:30.594795
727,2023-02-07 12:19:30.594795
728,2023-02-07 12:19:30.594795
729,2023-02-07 12:19:30.594795
730,2023-02-07 12:19:30.594795
731,2023-02-07 12:19:30.594795
732,2023-02-07 12:19:30.594795
733,2023-02-07 12:19:30.594795
734,2023-02-07 12:19:33.777853
735,2023-02-07 12:19:33.777853
736,2023-02-07 12:19:33.777853
737,2023-02-07 12:19:33.777853
738,2023-02-07 12:19:33.777853
739,2023-02-07 12:19:33.777853
740,2023-02-07 12:19:33.777853
741,2023-02-07 12:19:33.777853
742,2023-02-07 12:19:34.940453
743,2023-02-07 12:19:34.940453
744,2023-02-07 12:19:34.940453
745,2023-02-07 12:19:34.940453
746,2023-02-07 12:19:34.940453
747,2023-02-07 12:19:34.940453
748,2023-02-07 12:19:34.940453
749,2023-02-07 12:19:34.940453
750,2023-02-07 12:19:34.940453
751,2023-02-07 12:19:36.343391
752,2023-02-07 12:19:36.343391
753,2023-02-07 12:19:36.343391
754,2023-02-07 12:19:36.343391
755,2023-02-07 12:19:36.343391
756,2023-02-07 12:19:36.343391
757,2023-02-07 12:19:36.343391
758,2023-02-07 12:19:36.343391
759,2023-02-07 12:19:39.196944
760,2023-02-07 12:19:39.196944
761,2023-02-07 12:19:39.196944
762,2023-02-07 12:19:39.196944
763,2023-02-07 12:19:39.196944
764,2023-02-07 12:19:39.196944
765,2023-02-07 12:19:39.196944
766,2023-02-07 12:19:39.196944
767,2023-02-07 12:19:40.154830
768,2023-02-07 12:19:40.154830
769,2023-02-07 12:19:40.154830
770,2023-02-07 12:19:40.154830
771,2023-02-07 12:19:40.154830
772,2023-02-07 12:19:40.154830
773,2023-02-07 12:19:40.154830
774,2023-02-07 12:19:40.154830
775,2023-02-07 12:19:40.154830
776,2023-02-07 12:19:41.255245
